,feature_importance
0,0.018903807847316472
1,0.0
2,0.0077261251682246455
3,0.0
4,0.0
5,0.0
6,0.0035684885809815986
7,0.0
8,0.002168533687293623
9,0.0
10,0.018813501126892992
11,0.0
12,0.010737286920455912
13,0.0
14,0.01656570151014424
15,0.002188369732781445
16,0.0
17,0.0
18,0.0
19,0.0012964013071445537
20,0.0
21,0.0
22,0.013637244701923871
23,0.0024538839360666743
24,0.02154176881439198
25,0.0
26,0.0
27,0.0020602467861267374
28,0.0019784603615778185
29,0.0
30,0.0
31,0.0
32,0.001894754567741816
33,0.0
34,0.0
35,0.0
36,0.0021936248305791527
37,0.018395938548366395
38,0.0
39,0.01755670235866197
40,0.0
41,0.0018459573139944945
42,0.0
43,0.0
44,0.0014409147599235858
45,0.0
46,0.01825308840080199
47,0.01456211985283733
48,0.0
49,0.0022679779046119704
50,0.0
51,0.014185705929670812
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0017903896965434732
57,0.010136473019280294
58,0.0
59,0.0
60,0.0
61,0.0
62,0.001760372933754836
63,0.0
64,0.0
65,0.012928122411641369
66,0.0
67,0.009414109519648484
68,0.0
69,0.0
70,0.0
71,0.0
72,0.017229982900964627
73,0.0
74,0.0028142636247679765
75,0.01520412644013528
76,0.0027591236112125923
77,0.0
78,0.0
79,0.0
80,0.011595492223296082
81,0.0018658998588089836
82,0.0
83,0.0
84,0.014517588542159393
85,0.015505120064796951
86,0.0
87,0.0
88,0.0
89,0.0
90,0.020760026334035352
91,0.0
92,0.0
93,0.0214293757656616
94,0.0
95,0.0
96,0.001348999051846509
97,0.0
98,0.0
99,0.0
100,0.0022511284246262407
101,0.0072287803040749195
102,0.018647655341196424
103,0.0
104,0.0
105,0.0013591015719914951
106,0.013097479965652237
107,0.0
108,0.0036921440042273334
109,0.022174089219968246
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.019159008879093643
120,0.024151460429871863
121,0.0
122,0.0
123,0.0021601740667513045
124,0.0
125,0.014401705378693548
126,0.0
127,0.0023135624123892307
128,0.0010364126961270317
129,0.0011399859636235386
130,0.0010464559406265332
131,0.0010950022750136938
132,0.0011012868804297505
133,0.0010913631699816693
134,0.0014057986145403873
135,0.0013863185467474335
136,0.0013686178435157138
137,0.0017165205522441296
138,0.0016990054952729019
139,0.0014959998888718516
140,0.00117685564940433
141,0.0010923437067078116
142,0.0011118863828084385
143,0.0010510302478248432
144,0.0009781078838996921
145,0.001113595960896961
146,0.003844671494813519
147,0.0038877095370289287
148,0.002604734336292343
149,0.004324884034073814
150,0.0040317389435548835
151,0.0039055663265913504
152,0.004251747504133803
153,0.004473367416664245
154,0.003719366571832631
155,0.0013365397237215437
156,0.0012382461361311343
157,0.0013392428610632997
158,0.0018363815183542076
159,0.0019382462687853584
160,0.001819693909434248
161,0.0017384660275935602
162,0.002181990713328562
163,0.0018846034688032665
164,0.001701329413591457
165,0.0019346914667354221
166,0.001674949990244953
167,0.0016074301269073498
168,0.0017133740041351004
169,0.001689165682234774
170,0.0013930346390593107
171,0.0014051942996287758
172,0.001287248505983615
173,0.003996931890006588
174,0.0037827612861322576
175,0.0031795105323302267
176,0.002687629494905353
177,0.0030715675831652204
178,0.002873402827141029
179,0.00239732157696198
180,0.002701309853916164
181,0.002567347630921261
182,0.0034148159040342674
183,0.0035052880366871113
184,0.003954059211146642
185,0.0009163970859223411
186,0.0009931859674138658
187,0.0009825371475925006
188,0.001106002146265106
