,feature_importance
0,0.014562677659951555
1,0.0
2,0.007970216281794933
3,0.0
4,0.0
5,0.0
6,0.004354851271929393
7,0.0
8,0.001969797284097472
9,0.0
10,0.01901685324075885
11,0.0
12,0.008425665718740599
13,0.0
14,0.02043892824061881
15,0.0021051114806894347
16,0.0
17,0.0
18,0.0
19,0.0013005948861014405
20,0.0
21,0.0
22,0.013592753437378622
23,0.001522292706040886
24,0.0161127406539715
25,0.0
26,0.0
27,0.0017876408271991742
28,0.0033268744942662994
29,0.0
30,0.0
31,0.0
32,0.001972266749664719
33,0.0
34,0.0
35,0.0
36,0.0024821132049349954
37,0.01708794427871406
38,0.0
39,0.016854662266440234
40,0.0
41,0.002435236557718173
42,0.0
43,0.0
44,0.0014546804933067655
45,0.0
46,0.01886617205754791
47,0.015978743222101657
48,0.0
49,0.003028905605286172
50,0.0
51,0.012105272767938317
52,0.0
53,0.0
54,0.0
55,0.0
56,0.001707892016119513
57,0.008162124592678009
58,0.0
59,0.0
60,0.0
61,0.0
62,0.002073427382861143
63,0.0
64,0.0
65,0.011735649728563235
66,0.0
67,0.010339369810758567
68,0.0
69,0.0
70,0.0
71,0.0
72,0.020773891399893035
73,0.0
74,0.0026479310776159077
75,0.01605953043654399
76,0.004129121560114631
77,0.0
78,0.0
79,0.0
80,0.009766194464271492
81,0.002280670830764109
82,0.0
83,0.0
84,0.0161224865474784
85,0.014612640781427029
86,0.0
87,0.0
88,0.0
89,0.0
90,0.018010803690932265
91,0.0
92,0.0
93,0.018220355129354368
94,0.0
95,0.0
96,0.0013409644795597253
97,0.0
98,0.0
99,0.0
100,0.0018248902721204033
101,0.007747929526889165
102,0.017373467730665993
103,0.0
104,0.0
105,0.001258125814192875
106,0.012288450003906083
107,0.0
108,0.003147381838824768
109,0.018133922215000185
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.013007030874790328
120,0.02335161163078605
121,0.0
122,0.0
123,0.0019270371259763614
124,0.0
125,0.012629998141269815
126,0.0
127,0.002365704026565996
128,0.0010786494004187532
129,0.0010717781289307463
130,0.0011441115393849796
131,0.001018883348810305
132,0.0012675143578603132
133,0.0011461380477185074
134,0.0018534874433304475
135,0.0016603669281154065
136,0.0014912160261064537
137,0.0017041258011524078
138,0.0017168959220076373
139,0.0017131540993853603
140,0.0013617559873036267
141,0.0018095348641321263
142,0.001617282459586692
143,0.0013037685754826963
144,0.0012849518150144631
145,0.0015983633444377565
146,0.0034958507705525397
147,0.0029753573977066195
148,0.0033706707502681754
149,0.005166834772518958
150,0.005117078842284972
151,0.004912281842696783
152,0.0044562032521182305
153,0.004727793553706994
154,0.005235424316809496
155,0.001378470235494234
156,0.001429294516658305
157,0.001453793166429831
158,0.0025811702729559094
159,0.0024585930372231493
160,0.0022424224167977573
161,0.0015797993100825172
162,0.0015763759540532302
163,0.001438969227209474
164,0.0014745123976771422
165,0.0017014355899811649
166,0.0016505270431380228
167,0.0019180258694027601
168,0.0021025374972782605
169,0.0023583123282101097
170,0.0014522927725114522
171,0.0013145021370602572
172,0.0012065709917798326
173,0.00398239927670268
174,0.003180825081610299
175,0.0034240161573245425
176,0.003554621038512494
177,0.0033782291585660196
178,0.003418799472628026
179,0.0032807439949097067
180,0.003039275340955018
181,0.0028329658037622918
182,0.003963694355340256
183,0.004339090450459609
184,0.004192211871701788
185,0.0010647556842617162
186,0.0012320158420974778
187,0.0012797534591124193
188,0.0010408828046988624
189,0.0009110917751373924
190,0.0010428324383200103
191,0.001141629802198759
192,0.0010364952284654635
193,0.0009712889964107766
194,0.0008663727041290741
195,0.0010354892737407283
196,0.0011202601062620813
197,0.0011806586891552897
198,0.000987309260111622
199,0.000871946152712689
200,0.0010218368006918363
201,0.0009144493084973332
202,0.0010228940647708015
203,0.0013354833935588601
204,0.0014884279373373359
205,0.0016306875386161714
206,0.0010311748305940715
207,0.0009535438101276471
208,0.0011018755182321553
209,0.0009580496956068505
210,0.0010703882302895568
211,0.0009237892974131544
212,0.0009481508217105805
213,0.0008317536775041975
214,0.0009810047486438728
215,0.0010360542026909224
216,0.0011739199203832425
217,0.0011452120682197303
218,0.0008800992580682078
219,0.0009395663390580764
220,0.0008842605917051841
221,0.001749352633362272
222,0.001447714457638146
223,0.0016238260155373126
224,0.0011577940107843376
225,0.0011966879737002733
226,0.0012484527857174685
227,0.0014700039317209106
228,0.0011696010304488033
229,0.0013361567359525392
230,0.0008863775500490887
231,0.0008857899756928375
232,0.0008918009238402583
233,0.0012510954209345667
234,0.001117924729319167
235,0.0012910664339807643
236,0.0010201464493468878
237,0.0010838738500166924
238,0.0009302579721676829
239,0.0024002295351480745
240,0.002872120113183548
